name,address,contact,city
Imax Prasad Cinemas,"""IMAX Road Khairtabad Behind of, NTR Marg, Hyderabad, Telangana 500063""",040 2344 8888,Hyderabad
PVR Cinemas (Hyderabad Central),"""Hyderabad Central Mall, 5th Floor, Panjagutta Cross Road, Telangana 500082""",088009 00009,Hyderabad
INOX (GVK One Mall),"""4th Floor, GVK One, Rd Number 1, Banjara Hills, Hyderabad, Telangana 500034""",040 2475 9997,Hyderabad
Cinepolis Manjeera Mall,"""JNTU Rd, Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana 500072""",095601 21771,Hyderabad
PVR Cinemas (The Forum Mall),"""The Forum Mall, Adugodi Main Rd, Koramangala, Bengaluru, Karnataka 560095""",088009 00009,Bangalore
Innovative Multiplex,"""Number, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037""",084385 84385,Bangalore
Inox (Garuda Swagath),"""4th Floor, Garuda Mall, Magrath Rd, Bengaluru, Karnataka 560025""",078997 29011,Bangalore
Cinepolis (Orion Avenue),"""10/34, Dodda Banaswadi Main Road, Banaswadi, Layout, Jaibharath Nagar, Sathya Nagar, Maruthi Sevanagar, Bengaluru, Karnataka 560033""",080 2309 4444,Bangalore
Bharath Theatre,"""40, Dr.Vijayaraghavalu Road, Old Washermanpet, Chennai, Tamil Nadu 600021""",044 2595 1447,Chennai
AGS theatre,"""No. 24, 1, Gopathi Narayanaswami Chetty Rd, opp.to barathidasan hospital, Parthasarathi Puram, T. Nagar, Chennai, Tamil Nadu 600017""",044 4016 7777,Chennai
Jazz Cinemas LUXE,"""Phoenix Market City, No. 142, 2nd Floor, Velachery Main Rd, Indira Gandhi Nagar, Velachery, Chennai, Tamil Nadu 600042""",044 4033 3344,Chennai
Delite Cinemas,"""1, Gate No. 4 Pant Hospitals, G B, Asaf Ali Rd, Delhi Gate, New Delhi, Delhi 110002""",,Delhi
Satyam INOX Patel Nagar,"""Suman Lata Bhadola Marg Behind Shadipur Metro Station, Patel Nagar, New Delhi, Delhi 110008""",078360 80000,Delhi
PVR Directors Cut,"""Ambience Mall, Mall Road, near Indian Oil Petrol Pump, Sector D, Vasant Kunj, New Delhi, Delhi 110011""",088009 00009,Delhi
Maratha Mandir Theatre,"""22, M M Marg, RBI Staff Colony, Mumbai Central, Mumbai, Maharashtra 400008""",022 2307 0119,Mumbai
PVR ICON - Oberoi,"""Oberoi Mall General AK Vidya Marg, 3rd Floor, Goregaon, Mumbai, Maharashtra 400063""",022 4073 0301,Mumbai
Carnival Cinemas IMAX,"""No.127, Andheri - Kurla Rd, Opp Acme Plaza, Dr. Charatsingh Colony, S B Singh Colony, Chakala, Andheri East, Mumbai, Maharashtra 400059""",077100 97900,Mumbai
Victory Theatre,"""2429, East St, Opposite Kayani Bakery, Hulshur, Camp, Pune, Maharashtra 411001""",020 2613 2975,Pune
Vaibhav Theater,"""Pune-Solapur Road, Hadapsar,, Pune, Maharashtra 411028""",020 2682 0660,Pune
INOX: Bund Garden Road,"""Plot No.D, Bund Garden Rd, Pune, Maharashtra 411001""",020 2605 0101,Pune
RDB Cinemas,"""Plot K And GP, 1, Street Number 25, EP Block, Sector V, Kolkata, West Bengal 700091""",033 4004 3447,Kolkata
Carnival Cinemas,"""177-178, Broadway Rd, IB Block, Sector III, Bidhannagar, Kolkata, West Bengal 700091""",033 4434 1212,Kolkata
PVR Cinemas,"""Jagat Banerjee Ghat Rd, Avani Riverside Mall, 1st Floor, Kolkata, West Bengal 711102""",088009 00009,Kolkata
Carnival Cinemas,"""3 Himalaya Mall Drive In Road Memnagar Ahmedabad Gujarat 380054 IN, Drive In Rd, Ahmedabad, Gujarat""",077100 97900,Ahmedabad
Miraj City Pulse,"""City Puls Dayanand Road Nr. Raipur Gate 10 Acres, Kankaria, Ahmedabad, Gujarat 380002""",079 2545 1536,Ahmedabad
Time Cinema Ahmedabad CG Road,"""CG Square Mall, Chimanlal Girdharlal Rd, Ahmedabad, Gujarat 380006""",079 4800 4636,Ahmedabad
Raj Mandir Cinema,"""C-16, Bhagwan Das Rd, Panch Batti, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001""",0141 237 9372,Jaipur
First Cinema,"""4th Floor Jaipur Cityplex Mall, Tonk Rd, Jaipur, Rajasthan 302018""",093144 36045,Jaipur
Cinestar Multiplex,"""B-6, Central Spine Rd, Sector 2, Central Spine, Vidyadhar Nagar, Jaipur, Rajasthan 302039""",097850 30721,Jaipur
Neelam Cinema,"""Shopping Plaza, 17D, Sector 17, Chandigarh, 160017""",0172 270 3600,Chandigarh
Wave Cinemas,"""City Emporium Mall Plot No.143 A, Industrial Area Phase I, Chandigarh, 160002""",0120 436 4666,Chandigarh
DT City Centre Mall Chandigarh,"""2nd floor, Plot No, DLF City Centre Mall, 22/23, IT Park Rd, Manimajra, Chandigarh, Haryana 160017""", 0124 470 8100,Chandigarh
